year,model,term,sumsq,df,statistic,p.value
2023,,GW_level_cm,0.0031527229839931614,1,0.24334947104573862,0.6289412907681957
2023,,month,0.18852836917596952,1,14.55195370764215,0.001691617762381102
2023,,Residuals,0.19433304932480785,15,NA,NA
2024,,GW_level_cm,0.05805132777841279,1,8.465692173677278,0.010782963603057458
2024,,month,0.3702776723854796,1,53.998020599398934,2.4123618003554323e-6
2024,,Residuals,0.10285867933914634,15,NA,NA
